source_node_id,target_node_id,relationship_type,workflow_context,dependency_type,priority_score
PRODM_WF_001,BA_WF_005,DEPENDS_ON,LAUNCH_001,Hard,1
BA_WF_005,BA_WF_001,DEPENDS_ON,LAUNCH_001,Hard,2
BA_WF_001,BA_WF_003,DEPENDS_ON,LAUNCH_001,Hard,2
BA_WF_003,PRODM_WF_002,DEPENDS_ON,LAUNCH_001,Hard,2
PRODM_WF_002,BSA_WF_001,DEPENDS_ON,LAUNCH_001,Hard,2
BSA_WF_001,BSA_WF_003,DEPENDS_ON,LAUNCH_001,Hard,3
BSA_WF_003,PRODO_WF_001,DEPENDS_ON,LAUNCH_001,Hard,3
PRODO_WF_001,PRODO_WF_002,DEPENDS_ON,LAUNCH_001,Hard,4
PRODO_WF_002,PRODO_WF_003,DEPENDS_ON,LAUNCH_001,Hard,4
PRODO_WF_003,PRODO_WF_003a,DEPENDS_ON,LAUNCH_001,Hard,5
PRODO_WF_003a,PRODM_WF_003,DEPENDS_ON,LAUNCH_001,Hard,5
PRODM_WF_001,BA_WF_005,DEPENDS_ON,VISION_001,Hard,1
BA_WF_005,BA_WF_001,DEPENDS_ON,VISION_001,Hard,2
BA_WF_001,PRODM_WF_002,DEPENDS_ON,VISION_001,Hard,2
BA_WF_001,BA_WF_006,DEPENDS_ON,REQ_001,Hard,1
BA_WF_006,BSA_WF_001,DEPENDS_ON,REQ_001,Hard,2
BSA_WF_001,PRODM_WF_002,DEPENDS_ON,REQ_001,Hard,3
PRODM_WF_002,PRODO_WF_001,DEPENDS_ON,REQ_001,Hard,4
PRODM_WF_003,PRODM_WF_004,DEPENDS_ON,POSITION_001,Hard,1
PRODM_WF_004,BA_WF_004,DEPENDS_ON,POSITION_001,Hard,2
BA_WF_004,PRODM_WF_002a,DEPENDS_ON,POSITION_001,Hard,3
PRODM_WF_002a,PRODO_WF_001,DEPENDS_ON,POSITION_001,Hard,4
PRODM_WF_010,BA_WF_010,DEPENDS_ON,DISCOVERY_001,Hard,1
BA_WF_010,BSA_WF_010,DEPENDS_ON,DISCOVERY_001,Hard,2
BSA_WF_010,PRODM_WF_002,DEPENDS_ON,DISCOVERY_001,Hard,3
PRODM_WF_002,PRODO_WF_001,DEPENDS_ON,DISCOVERY_001,Hard,4
PRODM_WF_004,BA_WF_006,DEPENDS_ON,CASE_001,Hard,1
BA_WF_006,PRODM_WF_002,DEPENDS_ON,CASE_001,Hard,2
PRODM_WF_002,BA_WF_002,DEPENDS_ON,CASE_001,Hard,3
BA_WF_002,PRODO_WF_001,DEPENDS_ON,CASE_001,Hard,4
PRODM_WF_004,BA_WF_002,DEPENDS_ON,MAP_001,Hard,1
BA_WF_002,BSA_WF_002,DEPENDS_ON,MAP_001,Hard,2
BSA_WF_002,PRODM_WF_002,DEPENDS_ON,MAP_001,Hard,3
PRODM_WF_002,PRODO_WF_001,DEPENDS_ON,MAP_001,Hard,4
PRODM_WF_004,BSA_WF_002,DEPENDS_ON,IMPACT_001,Hard,1
BSA_WF_002,BA_WF_006,DEPENDS_ON,IMPACT_001,Hard,2
BA_WF_006,PRODM_WF_002,DEPENDS_ON,IMPACT_001,Hard,3
PRODM_WF_002,PRODO_WF_001,DEPENDS_ON,IMPACT_001,Hard,4
PRODM_WF_004,BA_WF_005,DEPENDS_ON,STRATEGY_001,Hard,1
BA_WF_005,PRODM_WF_002,DEPENDS_ON,STRATEGY_001,Hard,2
PRODM_WF_002,PRODM_WF_002a,DEPENDS_ON,STRATEGY_001,Hard,2
PRODM_WF_002,BA_WF_003,DEPENDS_ON,VISION_BREAK_001,Hard,1
BA_WF_003,BSA_WF_003,DEPENDS_ON,VISION_BREAK_001,Hard,2
BSA_WF_003,PRODM_WF_002a,DEPENDS_ON,VISION_BREAK_001,Hard,2
BA_WF_003,BSA_WF_003,DEPENDS_ON,STORIES_001,Hard,1
BSA_WF_003,PRODO_WF_003,DEPENDS_ON,STORIES_001,Hard,2
PRODO_WF_003,PRODM_WF_002a,DEPENDS_ON,STORIES_001,Hard,2
PRODM_WF_002a,PRODM_WF_003,DEPENDS_ON,STORIES_001,Hard,1
PRODO_WF_001,BA_WF_003,DEPENDS_ON,BACKLOG_001,Hard,1
BA_WF_003,BSA_WF_003,DEPENDS_ON,BACKLOG_001,Hard,2
BSA_WF_003,PRODO_WF_001,DEPENDS_ON,BACKLOG_001,Hard,2
PRODO_WF_002,BA_WF_003,DEPENDS_ON,SPRINT_001,Hard,1
BA_WF_003,BSA_WF_003,DEPENDS_ON,SPRINT_001,Hard,2
BSA_WF_003,PRODO_WF_002,DEPENDS_ON,SPRINT_001,Hard,2
PRODO_WF_003,BA_WF_003,DEPENDS_ON,SUPPORT_001,Soft,3
BA_WF_003,BSA_WF_003,DEPENDS_ON,SUPPORT_001,Soft,3
BSA_WF_003,PRODO_WF_003a,DEPENDS_ON,SUPPORT_001,Soft,3
PRODM_WF_002,BA_WF_003,DEPENDS_ON,TEST_001,Hard,1
BA_WF_003,BSA_WF_003,DEPENDS_ON,TEST_001,Hard,2
BSA_WF_003,PRODO_WF_003a,DEPENDS_ON,TEST_001,Hard,2
PRODO_WF_003a,PRODM_WF_002a,DEPENDS_ON,TEST_001,Hard,2
PRODM_WF_002,BA_WF_003,DEPENDS_ON,RELEASE_001,Hard,1
BA_WF_003,BSA_WF_003,DEPENDS_ON,RELEASE_001,Hard,2
BSA_WF_003,PRODO_WF_004,DEPENDS_ON,RELEASE_001,Hard,2
PRODO_WF_004,PRODM_WF_002a,DEPENDS_ON,RELEASE_001,Hard,2
PRODM_WF_004,BA_WF_006,DEPENDS_ON,MATERIALS_001,Hard,1
BA_WF_006,BSA_WF_001,DEPENDS_ON,MATERIALS_001,Hard,2
BSA_WF_001,PRODO_WF_004,DEPENDS_ON,MATERIALS_001,Hard,2
PRODO_WF_004,PRODM_WF_002a,DEPENDS_ON,MATERIALS_001,Hard,2
PRODM_WF_004,BA_WF_004,DEPENDS_ON,METRICS_001,Hard,1
BA_WF_004,PRODM_WF_002,DEPENDS_ON,METRICS_001,Hard,2
PRODM_WF_002,PRODO_WF_003a,DEPENDS_ON,METRICS_001,Hard,2
PRODO_WF_003a,PRODM_WF_002a,DEPENDS_ON,METRICS_001,Hard,2
PRODM_WF_002,BA_WF_003,DEPENDS_ON,HANDOFF_001,Hard,1
BA_WF_003,BSA_WF_003,DEPENDS_ON,HANDOFF_001,Hard,2
BSA_WF_003,PRODO_WF_004,DEPENDS_ON,HANDOFF_001,Hard,2
PRODO_WF_004,PRODM_WF_002a,DEPENDS_ON,HANDOFF_001,Hard,2
PRODM_WF_004,BA_WF_005,DEPENDS_ON,REFINE_001,Hard,1
BA_WF_005,PRODO_WF_001,DEPENDS_ON,REFINE_001,Hard,2
PRODO_WF_001,PRODM_WF_002a,DEPENDS_ON,REFINE_001,Hard,2
PRODM_WF_004,BA_WF_006,DEPENDS_ON,TELEMETRY_001,Hard,1
BA_WF_006,PRODO_WF_003a,DEPENDS_ON,TELEMETRY_001,Hard,2
PRODO_WF_003a,PRODM_WF_002a,DEPENDS_ON,TELEMETRY_001,Hard,2
PRODM_WF_002,BSA_WF_003,DEPENDS_ON,DEBT_001,Hard,1
BSA_WF_003,PRODO_WF_003a,DEPENDS_ON,DEBT_001,Hard,2
PRODO_WF_003a,PRODM_WF_002a,DEPENDS_ON,DEBT_001,Hard,2
PRODM_WF_002,BA_WF_005,DEPENDS_ON,POST_001,Hard,1
BA_WF_005,PRODO_WF_003a,DEPENDS_ON,POST_001,Hard,2
PRODO_WF_003a,PRODM_WF_002a,DEPENDS_ON,POST_001,Hard,2
PRODM_WF_002,BA_WF_006,DEPENDS_ON,COMPLY_001,Hard,1
BA_WF_006,BSA_WF_003,DEPENDS_ON,COMPLY_001,Hard,2
BSA_WF_003,PRODO_WF_003a,DEPENDS_ON,COMPLY_001,Hard,2
PRODM_WF_004,BA_WF_002,DEPENDS_ON,MODERN_001,Hard,1
BA_WF_002,BSA_WF_002,DEPENDS_ON,MODERN_001,Hard,2
BSA_WF_002,PRODO_WF_001,DEPENDS_ON,MODERN_001,Hard,2
PRODM_WF_010,BA_WF_010,DEPENDS_ON,ONBOARD_001,Hard,1
BA_WF_010,BSA_WF_010,DEPENDS_ON,ONBOARD_001,Hard,2
BSA_WF_010,PRODO_WF_001,DEPENDS_ON,ONBOARD_001,Hard,2
PRODO_WF_001,PRODM_WF_002a,DEPENDS_ON,ONBOARD_001,Hard,2
PRODM_WF_010,BA_WF_010,DEPENDS_ON,VOC_001,Hard,1
BA_WF_010,BSA_WF_010,DEPENDS_ON,VOC_001,Hard,2
BSA_WF_010,PRODO_WF_003a,DEPENDS_ON,VOC_001,Hard,2
PRODO_WF_003a,PRODM_WF_002a,DEPENDS_ON,VOC_001,Hard,2
PRODM_WF_004,BA_WF_006,DEPENDS_ON,INNOVATE_001,Hard,1
BA_WF_006,BSA_WF_002,DEPENDS_ON,INNOVATE_001,Hard,2
BSA_WF_002,PRODO_WF_001,DEPENDS_ON,INNOVATE_001,Hard,2
PRODO_WF_001,PRODM_WF_002a,DEPENDS_ON,INNOVATE_001,Hard,2
PRODM_WF_002,BA_WF_005,DEPENDS_ON,DEPRECATE_001,Hard,1
BA_WF_005,BSA_WF_003,DEPENDS_ON,DEPRECATE_001,Hard,2
BSA_WF_003,PRODO_WF_004,DEPENDS_ON,DEPRECATE_001,Hard,2
PRODO_WF_004,PRODM_WF_002a,DEPENDS_ON,DEPRECATE_001,Hard,2
PRODM_WF_004,BA_WF_006,DEPENDS_ON,PORTFOLIO_001,Hard,1
BA_WF_006,BSA_WF_002,DEPENDS_ON,PORTFOLIO_001,Hard,2
BSA_WF_002,PRODO_WF_001,DEPENDS_ON,PORTFOLIO_001,Hard,2
PRODO_WF_001,PRODM_WF_002a,DEPENDS_ON,PORTFOLIO_001,Hard,2